"","property_no","property_address","total rates","lv","cv","rate_yr","assessment_number","rate area (ha)","qv category","suburb"
"35461",16571,"30 Virginia Hts~WHANGANUI",4714.04,320000,680000,"25_26","1318511600",0.0883,"Residential","St Johns/Otamatea"
"35462",16573,"201 Great North Rd~WHANGANUI",4603.78,330000,560000,"25_26","1318503200",0.1095,"Residential","St Johns/Otamatea"
"35463",16579,"129 Putiki Dr~WHANGANUI",2809.02,220000,780000,"25_26","1308014000",0.5894,"Residential","Bastia/Durie Hills Putiki"
"35464",16581,"152 - 154 Mosston Rd~WHANGANUI",4049.59,610000,9e+05,"25_26","1288069600",2.0409,"Lifestyle","Whanganui Rural"
"35465",16582,"127 Putiki Dr~WHANGANUI",2841.47,215000,650000,"25_26","1308014001",0.3585,"Residential","Bastia/Durie Hills Putiki"
"35466",16585,"123 Putiki Dr~WHANGANUI",2803.59,2e+05,730000,"25_26","1308014002",0.1717,"Residential","Bastia/Durie Hills Putiki"
"35467",16586,"23 Wikitoria Rd~WHANGANUI",2527.12,185000,380000,"25_26","1308005600",0.0978,"Residential","Bastia/Durie Hills Putiki"
"35468",16587,"21 Te Anaua St~WHANGANUI",2792.32,180000,430000,"25_26","1308009801",0.1012,"Residential","Bastia/Durie Hills Putiki"
"35469",16588,"125 Putiki Dr~WHANGANUI",2825.15,210000,670000,"25_26","1308014003",0.219,"Residential","Bastia/Durie Hills Putiki"
"35470",16593,"87 Putiki Dr~WHANGANUI",3918.37,2e+05,580000,"25_26","1308001402",0.0802,"Residential","Bastia/Durie Hills Putiki"
"35471",16595,"159 Brunswick Rd~WHANGANUI",2286.93,345000,570000,"25_26","1288048600",2.4256,"Lifestyle","Whanganui Rural"
"35472",16597,"46 Papaiti Rd~WHANGANUI",2880.38,360000,980000,"25_26","1288040200",1.0117,"Lifestyle","Whanganui Rural"
"35473",16599,"217A Tayforth Rd~WHANGANUI",4531.31,590000,1070000,"25_26","1288044402",1.5218,"Lifestyle","Whanganui Rural"
"35474",16600,"542 Brunswick Rd~WHANGANUI",6635.05,5e+05,1250000,"25_26","1288036000",5.1821,"Utility asset","Whanganui Rural"
"35475",16603,"242 State Highway 3 North~WHANGANUI",2662.77,245000,460000,"25_26","1288031800",0.1024,"Residential","Whanganui Rural"
"35476",16604,"7 Sewell Rd~WHANGANUI",2967.3,610000,1210000,"25_26","1288036002",17.778,"Lifestyle","Whanganui Rural"
"35477",16605,"654A State Highway 3 North~WHANGANUI",7905,1880000,3030000,"25_26","1288027600",61.9707,"Pastoral","Whanganui Rural"
"35478",16610,"21 Mowhanau Dr~WHANGANUI",3724.18,315000,780000,"25_26","1288010800",0.0861,"Residential","Whanganui Rural"
"35479",16613,"Tokomaru West Rd~WHANGANUI",1045.19,44000,45500,"25_26","1288006601",5.8123,"Forestry","Whanganui Rural"
"35480",16620,"Pauri Rd~WHANGANUI",13039.22,4880000,5205000,"25_26","1307017400",243.8885,"Pastoral","Whanganui Rural"
"35481",16622,"57 Holmwood Rd~WHANGANUI",2353.99,350000,6e+05,"25_26","1307013200",4.2109,"Lifestyle","Whanganui Rural"
"35482",16628,"52 Rangitatau East Rd~WHANGANUI",1843.7,160000,550000,"25_26","1282035200",0.2529,"Residential","Whanganui Rural"
"35483",16630,"257 Maxwell Station Rd~WHANGANUI",2810.82,285000,720000,"25_26","1282026800",0.8628,"Residential","Whanganui Rural"
"35484",16632,"Cenotaph Maxwell~State Highway 3 North~WHANGANUI",345,180000,190000,"25_26","1282018400",0.7702,"Other","Whanganui Rural"
"35485",16636,"236 Kainui Rd~WHANGANUI",19516.56,7020000,7760000,"25_26","1295009100",819.4934,"Pastoral","Whanganui Rural"
"35486",16638,"636 Rangitatau West Rd~WHANGANUI",3992.21,660000,2050000,"25_26","1282001604",36.913,"Pastoral","Whanganui Rural"
"35487",16644,"60 Matarawa Valley Rd~WHANGANUI",2878.53,4e+05,950000,"25_26","1304004001",4.1752,"Lifestyle","Whanganui Rural"
"35488",16645,"543 No 2 Line~WHANGANUI",2943.75,5e+05,1010000,"25_26","1304004002",11.8828,"Lifestyle","Whanganui Rural"
"35489",16648,"Kauarapaoa Rd~WHANGANUI",1892.1,376000,389000,"25_26","1280026000",79.8166,"Forestry","Whanganui Rural"
"35490",16657,"Whanganui River Rd~WHANGANUI",147.66,60000,61500,"25_26","1292004100",31.1659,"Forestry","Whanganui Rural"
"35491",16658,"749 Longacre Rd~WHANGANUI",3414.9,7e+05,1500000,"25_26","1301007400",57.1504,"Pastoral","Whanganui Rural"
"35492",16660,"811 Longacre Rd~WHANGANUI",2258.68,350000,7e+05,"25_26","1301007401",5.677,"Lifestyle","Whanganui Rural"
"35493",16661,"94 Durie Vale Rd~WHANGANUI",2740.03,280000,450000,"25_26","1301003201",0.2074,"Residential","Whanganui Rural"
"35494",16662,"3 Tirimoana Pl~WHANGANUI",4686.42,325000,640000,"25_26","1318515900",0.0811,"Residential","St Johns/Otamatea"
