"","property_no","property_address","total rates","lv","cv","rate_yr","assessment_number","rate area (ha)","qv category","suburb"
"59256",8144,"48 Glasgow St~WHANGANUI",3547.53,215000,365000,"24_25","1317060800",0.0592,"Residential","Whanganui Central"
"59257",8145,"50 Glasgow St~WHANGANUI",4148.06,310000,365000,"24_25","1317060900",0.1012,"Residential","Whanganui Central"
"59258",8146,"52 Glasgow St~WHANGANUI",4396.66,310000,560000,"24_25","1317061000",0.1012,"Residential","Whanganui Central"
"59259",8147,"54 Glasgow St~WHANGANUI",4555.87,335000,575000,"24_25","1317061100",0.1138,"Residential","Whanganui Central"
"59260",8160,"82 Glasgow St~WHANGANUI",3336.97,155000,410000,"24_25","1317062200B",0,"Residential","Whanganui Central"
"59261",8161,"84 Glasgow St~WHANGANUI",3603.19,190000,465000,"24_25","1317062300",0.0465,"Residential","Whanganui Central"
"59262",8162,"86 Glasgow St~WHANGANUI",4073.24,250000,570000,"24_25","1317062400",0.0733,"Residential","Whanganui Central"
"59263",8163,"88 Glasgow St~WHANGANUI",3687.24,205000,465000,"24_25","1317062500",0.0549,"Residential","Whanganui Central"
"59264",8164,"90 Glasgow St~WHANGANUI",3827.48,205000,575000,"24_25","1317062600",0.0549,"Residential","Whanganui Central"
"59265",8177,"114 Glasgow St~WHANGANUI",4036.17,265000,475000,"24_25","1317063900",0.0814,"Residential","Whanganui Central"
"59266",8178,"5 Tay St~WHANGANUI",3315.8,195000,255000,"24_25","1317064000",0.0506,"Residential","Whanganui Central"
"59267",8179,"7 Tay St~WHANGANUI",3427.22,195000,305000,"24_25","1317064100",0.0506,"Residential","Whanganui Central"
"59268",8180,"9 Tay St~WHANGANUI",3369.85,195000,260000,"24_25","1317064200",0.0506,"Residential","Whanganui Central"
"59269",8194,"57 London St~WHANGANUI",3386.51,195000,320000,"24_25","1317065300",0.0506,"Residential","Whanganui Central"
"59270",8195,"59 London St~WHANGANUI",3548.34,195000,4e+05,"24_25","1317065400",0.0506,"Residential","Whanganui Central"
"59271",8196,"43 Halswell St~WHANGANUI",3843.92,225000,5e+05,"24_25","1317065500",0.0629,"Residential","Whanganui Central"
"59272",8197,"70 London St~WHANGANUI",4367.14,340000,405000,"24_25","1317065600",0.1159,"Residential","Whanganui Central"
"59273",8210,"92 Niblett St~WHANGANUI",3907.67,225000,550000,"24_25","1317066900",0.063,"Residential","Whanganui Central"
"59274",8211,"101 Niblett St~WHANGANUI",3506.23,2e+05,345000,"24_25","1317067000",0.0516,"Residential","Whanganui Central"
"59275",8212,"107 London St~WHANGANUI",3375.05,180000,330000,"24_25","1317067100",0.0427,"Residential","Whanganui Central"
"59276",8213,"109 London St~WHANGANUI",4218.18,310000,420000,"24_25","1317067200",0.1012,"Residential","Whanganui Central"
"59277",8214,"111 London St~WHANGANUI",3717.79,225000,470000,"24_25","1317067300",0.0622,"Residential","Whanganui Central"
"59278",8227,"17 Tregarth St~WHANGANUI",5089.49,420000,620000,"24_25","1318000800",0.1728,"Residential","St Johns/Otamatea"
"59279",8228,"4 Tregarth St~WHANGANUI",5657.67,485000,780000,"24_25","1318000801",0.1571,"Residential","St Johns/Otamatea"
"59280",8229,"6 Tregarth St~WHANGANUI",4142.01,260000,580000,"24_25","1318000802",0.0661,"Residential","St Johns/Otamatea"
"59281",8230,"8 Tregarth St~WHANGANUI",4699.96,330000,710000,"24_25","1318000900",0.0926,"Residential","St Johns/Otamatea"
"59282",8244,"1 Peakes Rd~WHANGANUI",4837.52,350000,730000,"24_25","1318001400",0.1012,"Residential","St Johns/Otamatea"
"59283",8245,"1A Peakes Rd~WHANGANUI",3925.61,210000,630000,"24_25","1318001401",0.045,"Residential","St Johns/Otamatea"
"59284",8246,"3 Peakes Rd~WHANGANUI",4710.03,350000,630000,"24_25","1318001500",0.1012,"Residential","St Johns/Otamatea"
"59285",8247,"5 Peakes Rd~WHANGANUI",4763.7,330000,760000,"24_25","1318001600",0.0931,"Residential","St Johns/Otamatea"
"59286",8261,"17 Peakes Rd~WHANGANUI",4516.61,295000,720000,"24_25","1318002204",0.0797,"Residential","St Johns/Otamatea"
"59287",8262,"19 Peakes Rd~WHANGANUI",3400.71,155000,460000,"24_25","1318002300A",0,"Residential","St Johns/Otamatea"
"59288",8263,"19 Peakes Rd~WHANGANUI",3428.72,160000,460000,"24_25","1318002300B",0,"Residential","St Johns/Otamatea"
"59289",8277,"43 Peakes Rd~WHANGANUI",4437.59,290000,680000,"24_25","1318003202",0.0769,"Residential","St Johns/Otamatea"
"59290",8278,"45 Peakes Rd~WHANGANUI",4781.66,315000,840000,"24_25","1318003203",0.0874,"Residential","St Johns/Otamatea"
"59291",8279,"47 Peakes Rd~WHANGANUI",4682.02,345000,630000,"24_25","1318003204",0.0996,"Residential","St Johns/Otamatea"
"59292",8280,"49 Peakes Rd~WHANGANUI",4608.04,350000,550000,"24_25","1318003205",0.1021,"Residential","St Johns/Otamatea"
"59293",8281,"51 Peakes Rd~WHANGANUI",4648.97,330000,670000,"24_25","1318003206",0.094,"Residential","St Johns/Otamatea"
"59294",8294,"26 Peakes Rd~WHANGANUI",4065.52,260000,520000,"24_25","1318004100",0.0662,"Residential","St Johns/Otamatea"
"59295",8295,"28 Peakes Rd~WHANGANUI",5002.93,4e+05,640000,"24_25","1318004200",0.1214,"Residential","St Johns/Otamatea"
"59296",8296,"30 Peakes Rd~WHANGANUI",4389.12,295000,620000,"24_25","1318004201",0.079,"Residential","St Johns/Otamatea"
"59297",8297,"32 Peakes Rd~WHANGANUI",4450.35,290000,690000,"24_25","1318004300",0.0772,"Residential","St Johns/Otamatea"
"59298",8311,"25 Taranaki St~WHANGANUI",4208.28,265000,610000,"24_25","1318005400",0.0668,"Residential","St Johns/Otamatea"
"59299",8312,"27 Taranaki St~WHANGANUI",5262.79,435000,690000,"24_25","1318005500",0.1456,"Residential","St Johns/Otamatea"
"59300",8313,"2 Taranaki St~WHANGANUI",5056.61,380000,770000,"24_25","1318005600",0.1003,"Residential","St Johns/Otamatea"
"59301",8314,"4 Taranaki St~WHANGANUI",4824.77,350000,720000,"24_25","1318005700",0.1003,"Residential","St Johns/Otamatea"
"59302",8327,"7 Parkes Ave~WHANGANUI",4944.38,385000,660000,"24_25","1318006800",0.1144,"Residential","St Johns/Otamatea"
"59303",8328,"9 Parkes Ave~WHANGANUI",4720.26,345000,660000,"24_25","1318006900",0.0868,"Residential","St Johns/Otamatea"
"59304",8329,"11 Parkes Ave~WHANGANUI",4954.62,380000,690000,"24_25","1318007000",0.1002,"Residential","St Johns/Otamatea"
"59305",8330,"13 Parkes Ave~WHANGANUI",4722.78,350000,640000,"24_25","1318007100",0.1003,"Residential","St Johns/Otamatea"
"59306",8331,"15 Parkes Ave~WHANGANUI",5398.48,350000,1170000,"24_25","1318007200",0.1003,"Residential","St Johns/Otamatea"
"59307",8344,"45 Parkes Ave~WHANGANUI",4366.31,275000,690000,"24_25","1318008002",0.0713,"Residential","St Johns/Otamatea"
"59308",8345,"47 Parkes Ave~WHANGANUI",4078.44,235000,640000,"24_25","1318008003",0.055,"Residential","St Johns/Otamatea"
"59309",8346,"3 Chittick Pl~WHANGANUI",4712.88,305000,830000,"24_25","1318008004",0.0946,"Residential","St Johns/Otamatea"
"59310",8347,"5 Chittick Pl~WHANGANUI",5668.4,405000,1140000,"24_25","1318008100",0.1321,"Residential","St Johns/Otamatea"
"59311",8361,"4A Aiken Rd~WHANGANUI",4553.33,345000,620000,"24_25","1318008300",0.1809,"Residential","St Johns/Otamatea"
"59312",8362,"2 Aiken Rd~WHANGANUI",4162.48,250000,640000,"24_25","1318008301",0.0612,"Residential","St Johns/Otamatea"
"59313",8363,"73 Parkes Ave~WHANGANUI",4266.99,255000,7e+05,"24_25","1318008302",0.0634,"Residential","St Johns/Otamatea"
"59314",8364,"75 Parkes Ave~WHANGANUI",4002.27,235000,680000,"24_25","1318008303",0.0556,"Residential","St Johns/Otamatea"
"59315",8378,"20 Parkes Ave~WHANGANUI",3324.22,155000,4e+05,"24_25","1318009100A",0,"Residential","St Johns/Otamatea"
"59316",8379,"20B Parkes Ave~WHANGANUI",3268.19,145000,4e+05,"24_25","1318009100B",0,"Residential","St Johns/Otamatea"
"59317",8380,"20C Parkes Ave~WHANGANUI",3240.17,140000,4e+05,"24_25","1318009100C",0,"Residential","St Johns/Otamatea"
"59318",8381,"20D Parkes Ave~WHANGANUI",3296.2,150000,4e+05,"24_25","1318009100D",0,"Residential","St Johns/Otamatea"
"59319",8394,"33 Kent Rd~WHANGANUI",3808.35,205000,560000,"24_25","1318009401F",0,"Residential","St Johns/Otamatea"
"59320",8395,"62 Parkes Ave~WHANGANUI",4266.83,280000,590000,"24_25","1318009501",0.074,"Residential","St Johns/Otamatea"
"59321",8396,"64 Parkes Ave~WHANGANUI",4261.79,270000,630000,"24_25","1318009502",0.0699,"Residential","St Johns/Otamatea"
"59322",8397,"66B Parkes Ave~WHANGANUI",3609.73,165000,580000,"24_25","1318009503A",0,"Residential","St Johns/Otamatea"
"59323",8398,"66 Parkes Ave~WHANGANUI",3673.31,190000,520000,"24_25","1318009503B",0,"Residential","St Johns/Otamatea"
"59324",8411,"5 Collier Pl~WHANGANUI",4481.04,275000,780000,"24_25","1318009605",0.071,"Residential","St Johns/Otamatea"
"59325",8412,"6 Collier Pl~WHANGANUI",4320.5,260000,720000,"24_25","1318009606",0.0654,"Residential","St Johns/Otamatea"
"59326",8413,"4 Collier Pl~WHANGANUI",4182.94,240000,7e+05,"24_25","1318009607",0.0565,"Residential","St Johns/Otamatea"
"59327",8414,"2 Collier Pl~WHANGANUI",4264.47,250000,720000,"24_25","1318009608",0.0613,"Residential","St Johns/Otamatea"
"59328",8428,"6 Aiken Rd~WHANGANUI",4340.96,250000,780000,"24_25","1318009701",0.0605,"Residential","St Johns/Otamatea"
"59329",8429,"4 Aiken Rd~WHANGANUI",3865.46,230000,580000,"24_25","1318009702",0.0616,"Residential","St Johns/Otamatea"
"59330",8430,"16 Aiken Rd~WHANGANUI",4131.94,240000,660000,"24_25","1318009703",0.0581,"Residential","St Johns/Otamatea"
"59331",8431,"12 Aiken Rd~WHANGANUI",4442.8,275000,750000,"24_25","1318009704",0.0774,"Residential","St Johns/Otamatea"
"59332",8444,"26A Aiken Rd~WHANGANUI",3540.96,155000,570000,"24_25","1318009720B",0,"Residential","St Johns/Otamatea"
"59333",8445,"28 Aiken Rd~WHANGANUI",4850.44,325000,850000,"24_25","1318009721",0.1101,"Residential","St Johns/Otamatea"
"59334",8446,"30 Aiken Rd~WHANGANUI",4605.86,295000,790000,"24_25","1318009722",0.0975,"Residential","St Johns/Otamatea"
"59335",8448,"34 Aiken Rd~WHANGANUI",3447.85,160000,475000,"24_25","1318009725A",0,"Residential","St Johns/Otamatea"
"59336",8461,"9 Kent Rd~WHANGANUI",4898.59,370000,690000,"24_25","1318010000",0.1176,"Residential","St Johns/Otamatea"
"59337",8463,"13 Kent Rd~WHANGANUI",3973.92,230000,580000,"24_25","1318010100A",0,"Residential","St Johns/Otamatea"
"59338",8464,"2A Ngapuhi St~WHANGANUI",3767.59,2e+05,550000,"24_25","1318010100B",0,"Residential","St Johns/Otamatea"
"59339",8478,"12 Kent Rd~WHANGANUI",3645.3,185000,520000,"24_25","1318011300A",0,"Residential","St Johns/Otamatea"
"59340",8479,"12A Kent Rd~WHANGANUI",3726.83,195000,540000,"24_25","1318011300B",0,"Residential","St Johns/Otamatea"
"59341",8480,"14A Kent Rd~WHANGANUI",5883.34,495000,1070000,"24_25",NA,NA,NA,NA
"59342",8481,"12B Kent Rd~WHANGANUI",3683.55,185000,550000,"24_25","1318011401A",0,"Residential","St Johns/Otamatea"
"59343",8495,"32 Kent Rd~WHANGANUI",4595.29,350000,540000,"24_25","1318011901",0.1012,"Residential","St Johns/Otamatea"
"59344",8496,"36 Kent Rd~WHANGANUI",5360.86,460000,770000,"24_25","1318012000",0.2476,"Residential","St Johns/Otamatea"
"59345",8497,"38 Kent Rd~WHANGANUI",4568.82,340000,660000,"24_25","1318012100",0.0966,"Residential","St Johns/Otamatea"
"59346",8498,"42 Kent Rd~WHANGANUI",4493.62,3e+05,680000,"24_25","1318012200",0.1545,"Residential","St Johns/Otamatea"
"59347",8511,"10 Bristow St~WHANGANUI",4904.44,330000,1020000,"24_25","1318013100",0.1491,"Residential","St Johns/Otamatea"
"59348",8512,"10A Bristow St~WHANGANUI",4921.4,390000,620000,"24_25","1318013101",0.117,"Residential","St Johns/Otamatea"
"59349",8513,"12A Bristow St~WHANGANUI",3991.71,240000,550000,"24_25","1318013200",0.0565,"Residential","St Johns/Otamatea"
"59350",8514,"12 Bristow St~WHANGANUI",4399.39,335000,530000,"24_25","1318013201",0.1104,"Residential","St Johns/Otamatea"
"59351",8515,"14A Bristow St~WHANGANUI",4152.25,255000,610000,"24_25","1318013300",0.0625,"Residential","St Johns/Otamatea"
"59352",8528,"9 Bristow St~WHANGANUI",4456.76,320000,660000,"24_25","1318013902",0.0883,"Residential","St Johns/Otamatea"
"59353",8529,"11 Bristow St~WHANGANUI",4234.28,290000,610000,"24_25","1318013903",0.0777,"Residential","St Johns/Otamatea"
"59354",8530,"15 Bristow St~WHANGANUI",4167.37,280000,6e+05,"24_25","1318013904",0.0739,"Residential","St Johns/Otamatea"
"59355",8531,"17 Bristow St~WHANGANUI",4261.79,270000,630000,"24_25","1318013905",0.0695,"Residential","St Johns/Otamatea"
"59356",8545,"1A Parkes Ave~WHANGANUI",5158.76,355000,960000,"24_25","1318015000",0.0908,"Residential","St Johns/Otamatea"
"59357",8546,"24 Parsons St~WHANGANUI",4656.52,345000,610000,"24_25","1318015100",0.0986,"Residential","St Johns/Otamatea"
"59358",8547,"22 Parsons St~WHANGANUI",4488.59,290000,720000,"24_25","1318015101",0.077,"Residential","St Johns/Otamatea"
"59359",8548,"28 Parsons St~WHANGANUI",4544.62,3e+05,720000,"24_25","1318015200",0.0813,"Residential","St Johns/Otamatea"
"59360",8561,"58 Parsons St~WHANGANUI",5003.25,350000,860000,"24_25","1318016200",0.1012,"Residential","St Johns/Otamatea"
"59361",8562,"60 Parsons St~WHANGANUI",5754.63,475000,9e+05,"24_25","1318016300",0.153,"Residential","St Johns/Otamatea"
"59362",8563,"62 Parsons St~WHANGANUI",4707.85,295000,870000,"24_25","1318016400",0.0786,"Residential","St Johns/Otamatea"
"59363",8564,"2 Tregarth St~WHANGANUI",4534.4,305000,690000,"24_25","1318016401",0.0774,"Residential","St Johns/Otamatea"
"59364",8565,"68 Parsons St~WHANGANUI",5560.88,470000,770000,"24_25","1318016500",0.2261,"Residential","St Johns/Otamatea"
"59365",8578,"2 Tarata St~WHANGANUI",4659.2,325000,7e+05,"24_25","1318017700",0.0918,"Residential","St Johns/Otamatea"
"59366",8579,"4 Tarata St~WHANGANUI",4608.2,325000,660000,"24_25","1318017800",0.0918,"Residential","St Johns/Otamatea"
"59367",8580,"6 Tarata St~WHANGANUI",4628.67,315000,720000,"24_25","1318017900",0.0868,"Residential","St Johns/Otamatea"
"59368",8581,"8 Tarata St~WHANGANUI",4577.67,315000,680000,"24_25","1318018000",0.0867,"Residential","St Johns/Otamatea"
"59369",8595,"7 St Leonard St~WHANGANUI",3208.3,140000,375000,"24_25","1318018800F",0,"Residential","St Johns/Otamatea"
"59370",8596,"7 St Leonard St~WHANGANUI",3277.07,150000,385000,"24_25","1318018800G",0,"Residential","St Johns/Otamatea"
"59371",8597,"7 St Leonard St~WHANGANUI",3242.69,145000,380000,"24_25","1318018800H",0,"Residential","St Johns/Otamatea"
"59372",8598,"7 St Leonard St~WHANGANUI",3311.48,155000,390000,"24_25","1318018800I",0,"Residential","St Johns/Otamatea"
"59373",8612,"7 Ngapuhi St~WHANGANUI",4590.43,315000,690000,"24_25","1318019700",0.0868,"Residential","St Johns/Otamatea"
"59374",8613,"9 Ngapuhi St~WHANGANUI",4628.67,315000,720000,"24_25","1318019800",0.0868,"Residential","St Johns/Otamatea"
"59375",8614,"11 Ngapuhi St~WHANGANUI",4564.93,315000,670000,"24_25","1318019900",0.0868,"Residential","St Johns/Otamatea"
"59376",8615,"15 Ngapuhi St~WHANGANUI",4417.3,275000,730000,"24_25","1318020000",0.0719,"Residential","St Johns/Otamatea"
"59377",8628,"9 Rawhiti Pl~WHANGANUI",4296.58,305000,590000,"24_25","1318020600",0.084,"Residential","St Johns/Otamatea"
"59378",8629,"2A Rawhiti Pl~WHANGANUI",3575.18,185000,465000,"24_25","1318020700",0.0444,"Residential","St Johns/Otamatea"
"59379",8630,"2 Rawhiti Pl~WHANGANUI",4022.41,225000,640000,"24_25","1318020701",0.0523,"Residential","St Johns/Otamatea"
"59380",8631,"4 Rawhiti Pl~WHANGANUI",4550.84,325000,615000,"24_25","1318020800",0.0911,"Residential","St Johns/Otamatea"
"59381",8646,"19 Great North Rd~WHANGANUI",4005.54,255000,580000,"24_25","1318022201",0.0557,"Residential","St Johns/Otamatea"
"59382",8647,"21 Great North Rd~WHANGANUI",4180.26,260000,610000,"24_25","1318022202",0.0571,"Residential","St Johns/Otamatea"
"59383",8648,"23 Great North Rd~WHANGANUI",4669.27,345000,620000,"24_25","1318022203",0.123,"Residential","St Johns/Otamatea"
"59384",8662,"49A Great North Rd~WHANGANUI",3741.18,235000,440000,"24_25","1318022800B",0,"Residential","St Johns/Otamatea"
"59385",8664,"53 Great North Rd~WHANGANUI",4262.3,295000,610000,"24_25","1318022802",0.0862,"Residential","St Johns/Otamatea"
"59386",8665,"55 Great North Rd~WHANGANUI",4313.7,310000,580000,"24_25","1318022900",0.0825,"Residential","St Johns/Otamatea"
"59387",8678,"83 Great North Rd~WHANGANUI",3668.01,220000,450000,"24_25","1318023300C",0,"Residential","St Johns/Otamatea"
"59388",8679,"85 Great North Rd~WHANGANUI",4447.24,295000,780000,"24_25","1318023400",0.0714,"Residential","St Johns/Otamatea"
"59389",8680,"87 Great North Rd~WHANGANUI",4030.13,215000,690000,"24_25","1318023401",0.0413,"Residential","St Johns/Otamatea"
"59390",8681,"89 Great North Rd~WHANGANUI",4589.24,365000,550000,"24_25","1318023500",0.1388,"Residential","St Johns/Otamatea"
"59391",8682,"91 Great North Rd~WHANGANUI",4578.07,330000,720000,"24_25","1318023501",0.1163,"Residential","St Johns/Otamatea"
"59392",8696,"121 Peat St~WHANGANUI",813.79,120000,130000,"24_25","1318024501",0.106,"Industrial","St Johns/Otamatea"
"59393",8697,"120 Peat St~WHANGANUI",2112.07,190000,195000,"24_25","1318024502",0.5265,"Other","St Johns/Otamatea"
"59394",8712,"28B Great North Rd~WHANGANUI",3660.56,190000,510000,"24_25","1318025403B",0,"Residential","St Johns/Otamatea"
"59395",8713,"2A Oakland Ave~WHANGANUI",4162.48,250000,640000,"24_25","1318025404",0.0537,"Residential","St Johns/Otamatea"
"59396",8714,"2A Oakland Ave~WHANGANUI",651.78,50000,50000,"24_25","1318025500",0.005,"Other","St Johns/Otamatea"
"59397",8715,"48 Great North Rd~WHANGANUI",3487.44,150000,550000,"24_25","1318025501A",0,"Residential","St Johns/Otamatea"
"59398",8729,"80 Great North Rd~WHANGANUI",4954.45,405000,580000,"24_25","1318026100",0.1126,"Residential","St Johns/Otamatea"
"59399",8730,"84 Great North Rd~WHANGANUI",5155.91,4e+05,760000,"24_25","1318026101",0.1424,"Residential","St Johns/Otamatea"
"59400",8731,"86 Great North Rd~WHANGANUI",4674.47,330000,690000,"24_25","1318026200",0.0829,"Residential","St Johns/Otamatea"
"59401",8732,"92 Great North Rd~WHANGANUI",3922.93,230000,540000,"24_25","1318026201",0.0469,"Residential","St Johns/Otamatea"
"59402",8745,"17 Smart Tce~WHANGANUI",5367.29,440000,750000,"24_25","1318026900",0.1247,"Residential","St Johns/Otamatea"
"59403",8746,"19 Smart Tce~WHANGANUI",6554.97,520000,1330000,"24_25","1318027000",0.2023,"Residential","St Johns/Otamatea"
"59404",8747,"15 Smart Tce~WHANGANUI",5614.55,450000,9e+05,"24_25","1318027100",0.1586,"Residential","St Johns/Otamatea"
"59405",8748,"13 Smart Tce~WHANGANUI",5497.13,470000,720000,"24_25","1318027200",0.2137,"Residential","St Johns/Otamatea"
"59406",8763,"64 Peat Pl~WHANGANUI",3566.82,2e+05,460000,"24_25","1318028300",0.0563,"Residential","St Johns/Otamatea"
"59407",8764,"49 Halswell St~WHANGANUI",3741.93,225000,420000,"24_25","1318028400A",0,"Residential","St Johns/Otamatea"
"59408",8765,"49A Halswell St~WHANGANUI",3459.26,170000,440000,"24_25","1318028400B",0,"Residential","St Johns/Otamatea"
"59409",8779,"5 Dickson Cres~WHANGANUI",4720.26,345000,660000,"24_25","1318029400",0.0949,"Residential","St Johns/Otamatea"
"59410",8780,"7 Dickson Cres~WHANGANUI",4320.5,260000,720000,"24_25","1318029500",0.0619,"Residential","St Johns/Otamatea"
"59411",8781,"9 Dickson Cres~WHANGANUI",4529.36,295000,730000,"24_25","1318029600",0.0749,"Residential","St Johns/Otamatea"
"59412",8782,"11 Dickson Cres~WHANGANUI",4167.51,260000,6e+05,"24_25","1318029700",0.0607,"Residential","St Johns/Otamatea"
"59413",8797,"1A Virginia Rd~WHANGANUI",5507.37,465000,750000,"24_25","1318030901",0.1649,"Residential","St Johns/Otamatea"
"59414",8798,"3B Virginia Rd~WHANGANUI",4170.03,265000,580000,"24_25","1318030902",0.0592,"Residential","St Johns/Otamatea"
"59415",8799,"3 Virginia Rd~WHANGANUI",4122.22,270000,610000,"24_25","1318030903",0.0607,"Residential","St Johns/Otamatea"
"59416",8812,"11A Virginia Rd~WHANGANUI",4717.74,340000,680000,"24_25","1318031200",0.111,"Residential","St Johns/Otamatea"
"59417",8813,"13A Virginia Rd~WHANGANUI",3516.62,170000,485000,"24_25","1318031300A",0,"Residential","St Johns/Otamatea"
"59418",8814,"13B Virginia Rd~WHANGANUI",3688.58,195000,510000,"24_25","1318031300B",0,"Residential","St Johns/Otamatea"
"59419",8815,"13C Virginia Rd~WHANGANUI",3579.04,180000,490000,"24_25","1318031300C",0,"Residential","St Johns/Otamatea"
"59420",8829,"31 Virginia Rd~WHANGANUI",5558.37,465000,790000,"24_25","1318031900",0.1348,"Residential","St Johns/Otamatea"
"59421",8830,"33 Virginia Rd~WHANGANUI",4231.26,260000,650000,"24_25","1318031901",0.0579,"Residential","St Johns/Otamatea"
"59422",8831,"35 Virginia Rd~WHANGANUI",4167.51,260000,6e+05,"24_25","1318031902",0.0579,"Residential","St Johns/Otamatea"
"59423",8846,"20 Virginia Rd~WHANGANUI",5002.26,460000,825000,"24_25","1318033000",1.7151,"Lifestyle","St Johns/Otamatea"
"59424",8847,"20A Virginia Rd~WHANGANUI",4568.55,305000,840000,"24_25","1318033001",0.0739,"Residential","St Johns/Otamatea"
"59425",8849,"22 Virginia Rd~WHANGANUI",5008.13,385000,710000,"24_25","1318033003",0.111,"Residential","St Johns/Otamatea"
"59426",8862,"38B Virginia Rd~WHANGANUI",3749.65,215000,470000,"24_25","1318518000A",0,"Residential","St Johns/Otamatea"
"59427",8863,"38A Virginia Rd~WHANGANUI",3724.15,215000,450000,"24_25","1318518000B",0,"Residential","St Johns/Otamatea"
"59428",8864,"24A Virginia Rd~WHANGANUI",3454.22,160000,480000,"24_25","1318033207A",0,"Residential","St Johns/Otamatea"
"59429",8865,"2 / 24A Virginia Rd~WHANGANUI",3407.09,155000,465000,"24_25","1318033207B",0,"Residential","St Johns/Otamatea"
"59430",8879,"85 Peat St~WHANGANUI",3629.12,215000,440000,"24_25","1318033800",0.0622,"Residential","St Johns/Otamatea"
"59431",8881,"81 Peat St~WHANGANUI",4191.51,295000,465000,"24_25","1318033901",0.1012,"Residential","St Johns/Otamatea"
"59432",8882,"77 Peat St~WHANGANUI",4012.01,255000,5e+05,"24_25","1318033902",0.0825,"Residential","St Johns/Otamatea"
"59433",8896,"69 Halswell St~WHANGANUI",3242.69,145000,380000,"24_25","1318033915A",0,"Residential","St Johns/Otamatea"
"59434",8897,"69A Halswell St~WHANGANUI",3270.7,150000,380000,"24_25","1318033915B",0,"Residential","St Johns/Otamatea"
"59435",8898,"67A Halswell St~WHANGANUI",3461.78,175000,420000,"24_25","1318033916A",0,"Residential","St Johns/Otamatea"
"59436",8899,"67B Halswell St~WHANGANUI",3324.22,155000,4e+05,"24_25","1318033916B",0,"Residential","St Johns/Otamatea"
"59437",8913,"74 Peat St~WHANGANUI",3586.59,195000,430000,"24_25","1318034600",0.0541,"Residential","St Johns/Otamatea"
"59438",8914,"72 Peat St~WHANGANUI",3670.63,210000,430000,"24_25","1318034700",0.0595,"Residential","St Johns/Otamatea"
"59439",8915,"56 Peat St~WHANGANUI",3912.7,235000,510000,"24_25","1318034800",0.0729,"Residential","St Johns/Otamatea"
"59440",8929,"17 Oakland Ave~WHANGANUI",4463.09,290000,7e+05,"24_25","1318035900",0.0685,"Residential","St Johns/Otamatea"
"59441",8946,"6 Acton Pl~WHANGANUI",4353.55,275000,680000,"24_25","1318036409",0.0711,"Residential","St Johns/Otamatea"
"59442",8947,"1 Acton Pl~WHANGANUI",4616.08,290000,820000,"24_25","1318036410",0.0774,"Residential","St Johns/Otamatea"
"59443",8948,"1A Acton Pl~WHANGANUI",4208.28,265000,610000,"24_25","1318036411",0.0678,"Residential","St Johns/Otamatea"
"59444",8949,"22 Oakland Ave~WHANGANUI",40305.22,1600000,2590000,"24_25","1318036500",0.87,"Commercial","St Johns/Otamatea"
"59445",8963,"14 Alexa Pl~WHANGANUI",5245.16,4e+05,830000,"24_25","1318036608",0.1107,"Residential","St Johns/Otamatea"
"59446",8964,"13 Alexa Pl~WHANGANUI",4606.09,335000,720000,"24_25","1318036610",0.0973,"Residential","St Johns/Otamatea"
"59447",8965,"11 Alexa Pl~WHANGANUI",4526.68,315000,640000,"24_25","1318036611",0.0933,"Residential","St Johns/Otamatea"
"59448",8966,"9 Alexa Pl~WHANGANUI",4715.39,310000,810000,"24_25","1318036612",0.0897,"Residential","St Johns/Otamatea"
"59449",8979,"64 Oakland Ave~WHANGANUI",4972.57,365000,770000,"24_25","1318037500",0.0964,"Residential","St Johns/Otamatea"
"59450",8980,"64A Oakland Ave~WHANGANUI",4715.23,335000,7e+05,"24_25","1318037501",0.1004,"Residential","St Johns/Otamatea"
"59451",8981,"68 Oakland Ave~WHANGANUI",5180.25,420000,810000,"24_25","1318037600",0.1174,"Residential","St Johns/Otamatea"
"59452",8982,"1 Hillside Tce~WHANGANUI",4799.44,325000,810000,"24_25","1318037700",0.0954,"Residential","St Johns/Otamatea"
"59453",8997,"1 Porritt St~WHANGANUI",5005.61,380000,730000,"24_25","1318038201",0.1033,"Residential","St Johns/Otamatea"
"59454",8999,"7 Porritt St~WHANGANUI",5043.7,405000,650000,"24_25","1318038400",0.1296,"Residential","St Johns/Otamatea"
"59455",9013,"5 Tulloch St~WHANGANUI",5283.4,4e+05,860000,"24_25","1318039200",0.1762,"Residential","St Johns/Otamatea"
"59456",9014,"7 Tulloch St~WHANGANUI",4934.15,390000,630000,"24_25","1318039201",0.1692,"Residential","St Johns/Otamatea"
"59457",9015,"9 Tulloch St~WHANGANUI",4990.51,350000,850000,"24_25","1318039300",0.1338,"Residential","St Johns/Otamatea"
"59458",9016,"11 Tulloch St~WHANGANUI",5387.78,425000,975000,"24_25","1318039301",0.2516,"Residential","St Johns/Otamatea"
"59459",9029,"18 Tulloch St~WHANGANUI",4642,355000,650000,"24_25","1318040100",0.1124,"Residential","St Johns/Otamatea"
"59460",9030,"1A Brassey Rd~WHANGANUI",4531.87,3e+05,710000,"24_25","1318040101",0.0821,"Residential","St Johns/Otamatea"
"59461",9031,"1 Brassey Rd~WHANGANUI",4631.18,320000,7e+05,"24_25","1318040200",0.0693,"Residential","St Johns/Otamatea"
